Label,IPLength,IPHeaderLength,IPFlags,TTL,Protocol,IPID,IPchecksum,SourcePort,DestPort,SequenceNumber,AckNumber,WindowSize,TCPHeaderLength,TCPflags,TCPLength,TCPChecksum,TCPStream,TCPUrgentPointer
filtered_pcap\TCP_Assistant,78,20,0x02,64,6,0x6075,0xa5d8,56034,443,755,755,406,32,0x0018,26,0x1b7b,3,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x6076,0xa5f1,56034,443,781,781,406,32,0x0010,0,0x2137,3,0
filtered_pcap\TCP_Assistant,60,20,0x02,64,6,0x9b35,0x8a35,46348,80,0,0,65535,40,0x0002,0,0x6165,73,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x9b36,0x8a3c,46348,80,1,1,1369,32,0x0010,0,0x82ab,73,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x9b37,0x8a3b,46348,80,1,1,1369,32,0x0011,0,0x82aa,73,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x9b38,0x8a3a,46348,80,2,2,1369,32,0x0010,0,0x82a6,73,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x5f5c,0x7bfa,55807,80,147,847,1396,32,0x0011,0,0x5e88,68,0
filtered_pcap\TCP_Assistant,60,20,0x02,64,6,0xd364,0xcd01,51593,80,0,0,65535,40,0x0002,0,0xebf2,74,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xd365,0xcd08,51593,80,1,1,1369,32,0x0010,0,0xb955,74,0
filtered_pcap\TCP_Assistant,198,20,0x02,64,6,0xd366,0xcc75,51593,80,1,1,1369,32,0x0018,146,0x576e,74,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xd367,0xcd06,51593,80,147,846,1396,32,0x0010,0,0xb523,74,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x5f5d,0x7bf9,55807,80,147,847,1396,32,0x0011,0,0x5e73,68,0
